Process,Steps,External_energy,Temp_Celcius,Stirring,Synthesis_Duration_h,Scale_synthesis_ml,Precurcor_conc_mM,NEW_Capping agent,NEW_capping agent_Class,NEW_reducing agent,NEW_reducing agent_class,Capping agent concentration_mg/mL,Reducing agent quantity mL,Order of reagent_CODE,treatment,UVVIs PEAKS nm,shape,core size (nm),Method of determination_size,exposure dose concentration mg/mL,Exposure duration  (h),bacterial  Culture medium,bacterial  Species,Bacteria reduction mm
phytosynthesis,single,No,25,No,4,?,7,plant,organic,plant,organic,91,?,BA,no,430,spherical,25,SEM,0.01125,?,MuellerHinton,Enterococcus,6
phytosynthesis,single,No,25,No,4,?,7,plant,organic,plant,organic,91,?,BA,no,430,spherical,25,SEM,0.0225,?,MuellerHinton,Enterococcus,6
phytosynthesis,single,No,25,No,4,?,7,plant,organic,plant,organic,91,?,BA,no,430,spherical,25,SEM,0.01125,?,MuellerHinton,Enterococcus,6
phytosynthesis,single,Heating,80,Stirring,2,20,1.5,plant,organic,plant,organic,?,10,BA,no,420,spherical,10,TEM,0.08,24,MuellerHinton,Salmonella,0
phytosynthesis,single,Heating,80,Stirring,2,20,1.5,plant,organic,plant,organic,?,10,BA,no,420,spherical,10,TEM,0.04,24,MuellerHinton,Salmonella,0
phytosynthesis,single,Heating,80,Stirring,2,20,1.5,plant,organic,plant,organic,?,10,BA,no,420,spherical,10,TEM,0.02,24,MuellerHinton,Salmonella,0
phytosynthesis,single,Heating,80,Stirring,2,20,1.5,plant,organic,plant,organic,?,10,BA,no,420,spherical,10,TEM,0.005,24,MuellerHinton,Salmonella,0
phytosynthesis,single,Microwave,?,Shaker,24,?,1,plant,organic,plant,organic,50,?,AB,no,425,triangular,102,TEM,?,36,?,Escherichia coli,12.007
phytosynthesis,single,Microwave,?,Shaker,24,?,1,plant,organic,plant,organic,50,?,AB,no,425,triangular,102,TEM,?,36,?,Bacillus,14.008
phytosynthesis,single,Microwave,?,Shaker,24,?,1,plant,organic,plant,organic,50,?,AB,no,425,spherical,102,TEM,?,36,?,Bacillus,16.016
phytosynthesis,single,Microwave,?,Shaker,24,?,1,plant,organic,plant,organic,50,?,AB,no,475,cubic,102,TEM,?,36,?,Escherichia coli,14.017
phytosynthesis,single,Microwave,?,Shaker,24,?,1,plant,organic,plant,organic,50,?,AB,no,425,spherical,102,TEM,?,36,?,Escherichia coli,14.02
phytosynthesis,single,Microwave,?,Shaker,24,?,1,plant,organic,plant,organic,50,?,AB,no,475,cubic,102,TEM,?,36,?,Bacillus,14.021
phytosynthesis,single,No,25,Stirring,3,?,3,plant,organic,plant,organic,50,5,AB,centrifuged_washed_lyophilized,430,spherical,50,FETEM,0.062,24,MuellerHinton,Listeria monocytogenes,9.49
phytosynthesis,single,No,25,Stirring,3,?,3,plant,organic,plant,organic,50,5,AB,centrifuged_washed_lyophilized,430,spherical,50,FETEM,1,24,MuellerHinton,Salmonella,12.09
biosynthesis,single,No,25,No,48,?,1,Bacterial extract,organic,Bacterial extract,organic,250,?,BA,dried,?,?,?,?,0.5,24,LuriaBertani,Pseudomonas,15.09
phytosynthesis,single,No,25,Stirring,3,?,3,plant,organic,plant,organic,50,5,AB,centrifuged_washed_lyophilized,430,spherical,50,FETEM,0.031,24,MuellerHinton,Listeria monocytogenes,8.2
phytosynthesis,single,No,25,Stirring,3,?,3,plant,organic,plant,organic,50,5,AB,centrifuged_washed_lyophilized,430,spherical,50,FETEM,0.25,24,MuellerHinton,Salmonella,10.2
phytosynthesis,single,No,25,Stirring,3.5,?,3,plant,organic,plant,organic,50,5,AB,centrifuged_washed_lyophilized,430,spherical,50,FETEM,0.25,24,MuellerHinton,Staphylococcus,10.5
phytosynthesis,single,No,25,Stirring,3,?,3,plant,organic,plant,organic,50,5,AB,centrifuged_washed_lyophilized,430,spherical,50,FETEM,0.5,24,MuellerHinton,Listeria monocytogenes,10.69
phytosynthesis,single,No,25,Stirring,3,?,3,plant,organic,plant,organic,50,5,AB,centrifuged_washed_lyophilized,430,spherical,50,FETEM,0.125,24,MuellerHinton,Listeria monocytogenes,9.75
phytosynthesis,single,No,25,Stirring,3,?,3,plant,organic,plant,organic,50,5,AB,centrifuged_washed_lyophilized,430,spherical,50,FETEM,0.125,24,MuellerHinton,Salmonella,9.75
phytosynthesis,single,No,25,Stirring,3,?,3,plant,organic,plant,organic,50,5,AB,centrifuged_washed_lyophilized,430,spherical,50,FETEM,1,24,MuellerHinton,Staphylococcus,11.19
phytosynthesis,single,No,25,Stirring,24,?,3,plant,organic,plant,organic,50,5,AB,centrifuged_washed_lyophilized,430,spherical,50,FETEM,0.062,24,MuellerHinton,Staphylococcus,9.79
phytosynthesis,single,No,25,Stirring,24,?,3,plant,organic,plant,organic,50,5,AB,centrifuged_washed_lyophilized,430,spherical,50,FETEM,0.031,24,MuellerHinton,Staphylococcus,9.25
biosynthesis,single,No,25,No,48,?,1,Bacterial extract,organic,Bacterial extract,organic,250,?,BA,dried,400,Square_spherical,18,TEM,0.5,24,LuriaBertani,Klebsiella,19.14
phytosynthesis,single,No,25,Stirring,3,?,3,plant,organic,plant,organic,50,5,AB,centrifuged_washed_lyophilized,430,spherical,50,FETEM,0.062,24,MuellerHinton,Escherichia coli,7.84
biosynthesis,single,No,25,No,48,?,1,Bacterial extract,organic,Bacterial extract,organic,250,?,BA,dried,?,?,?,?,0.5,24,LuriaBertani,Acinetobacter,14.15
phytosynthesis,single,No,25,Stirring,3,?,3,plant,organic,plant,organic,50,5,AB,centrifuged_washed_lyophilized,430,spherical,50,FETEM,0.25,24,MuellerHinton,Listeria monocytogenes,10.12
phytosynthesis,single,No,25,Stirring,3,?,3,plant,organic,plant,organic,50,5,AB,centrifuged_washed_lyophilized,430,spherical,50,FETEM,0.062,24,MuellerHinton,Salmonella,9.52
phytosynthesis,single,No,25,Stirring,3,?,3,plant,organic,plant,organic,50,5,AB,centrifuged_washed_lyophilized,430,spherical,50,FETEM,0.031,24,MuellerHinton,Salmonella,8.32
phytosynthesis,single,No,25,Stirring,3,?,3,plant,organic,plant,organic,50,5,AB,centrifuged_washed_lyophilized,430,spherical,50,FETEM,0.5,24,MuellerHinton,Staphylococcus,11.02
phytosynthesis,single,No,25,Stirring,3.5,?,3,plant,organic,plant,organic,50,5,AB,centrifuged_washed_lyophilized,430,spherical,50,FETEM,0.125,24,MuellerHinton,Staphylococcus,10.32
biosynthesis,single,No,25,No,48,?,1,Bacterial extract,organic,Bacterial extract,organic,250,?,BA,dried,400,Square_spherical,18,TEM,0.5,24,LuriaBertani,Acinetobacter,18.18
phytosynthesis,single,No,25,No,4,?,7,plant,organic,plant,organic,91,?,BA,no,430,spherical,25,SEM,0.09,?,MuellerHinton,Enterococcus,10.3
phytosynthesis,single,No,25,Stirring,3,?,1,plant,organic,plant,organic,100,?,AB,no,450,?,48,SEM,10,24,MuellerHinton,Staphylococcus,18.2
phytosynthesis,single,No,25,Stirring,3,?,3,plant,organic,plant,organic,50,5,AB,centrifuged_washed_lyophilized,430,spherical,50,FETEM,0.5,24,MuellerHinton,Escherichia coli,9.91
phytosynthesis,single,No,25,Stirring,3,?,3,plant,organic,plant,organic,50,5,AB,centrifuged_washed_lyophilized,430,spherical,50,FETEM,1,24,MuellerHinton,Listeria monocytogenes,12.38
phytosynthesis,single,No,25,Stirring,3,?,3,plant,organic,plant,organic,50,5,AB,centrifuged_washed_lyophilized,430,spherical,50,FETEM,0.5,24,MuellerHinton,Salmonella,10.78
biosynthesis,single,Heating,60,Shaker,4,11,5,plant,organic,plant,organic,10,1,AB,washed,430,spherical,56,SEM,0.5,24,Agar,Acinetobacter,20.87
biosynthesis,single,No,25,No,48,?,4,Bacterial extract,organic,Bacterial extract,organic,250,?,BA,dried,?,?,?,?,0.5,24,LuriaBertani,Klebsiella,15.23
biosynthesis,single,No,25,No,48,?,1,Bacterial extract,organic,Bacterial extract,organic,250,?,BA,dried,400,Square_spherical,18,TEM,0.5,24,LuriaBertani,Pseudomonas,19.25
phytosynthesis,single,No,25,Stirring,3,?,3,plant,organic,plant,organic,50,5,AB,centrifuged_washed_lyophilized,430,spherical,50,FETEM,0.125,24,MuellerHinton,Escherichia coli,9.27
