NPs,Coating,Core_size,Shape,Dose,Class,Family,Species,Duration,ZOI
AgNPs,Uncoated,68,NA,25000,Gammaproteobacteria,Enterobacteriaceae,E. coli,24,9.2
AgNPs,Uncoated,68,NA,25000,Gammaproteobacteria,Pseudomonadaceae,P. aeruginosa,24,10
AgNPs,Uncoated,68,NA,25000,Gammaproteobacteria,Enterobacteriaceae,Salmonella,24,9.1
AgNPs,Uncoated,68,NA,25000,Bacilli,Staphylococcaceae,S. aureus,24,10.1
AgNPs,Uncoated,68,NA,25000,Bacilli,Enterococcaceae,Enterococcus,24,8
AgNPs,Uncoated,68,NA,25000,Gammaproteobacteria,Enterobacteriaceae,K. pneumoniae,24,0
AgNPs,Uncoated,68,NA,25000,Gammaproteobacteria,Enterobacteriaceae,Shigella,24,0
AgNPs,Uncoated,68,NA,25000,Gammaproteobacteria,Morganellaceae,P. mirabilis,24,9
AgNPs,Uncoated,68,NA,50000,Gammaproteobacteria,Enterobacteriaceae,E. coli,24,12
AgNPs,Uncoated,68,NA,50000,Gammaproteobacteria,Pseudomonadaceae,P. aeruginosa,24,10
AgNPs,Uncoated,68,NA,50000,Gammaproteobacteria,Enterobacteriaceae,Salmonella,24,11
AgNPs,Uncoated,68,NA,50000,Bacilli,Staphylococcaceae,S. aureus,24,9
AgNPs,Uncoated,68,NA,50000,Bacilli,Enterococcaceae,Enterococcus,24,9
AgNPs,Uncoated,68,NA,50000,Gammaproteobacteria,Enterobacteriaceae,K. pneumoniae,24,0
AgNPs,Uncoated,68,NA,50000,Gammaproteobacteria,Enterobacteriaceae,Shigella,24,0
AgNPs,Uncoated,68,NA,50000,Gammaproteobacteria,Morganellaceae,P. mirabilis,24,10
AgNPs,Uncoated,68,NA,75000,Gammaproteobacteria,Enterobacteriaceae,E. coli,24,12
AgNPs,Uncoated,68,NA,75000,Gammaproteobacteria,Pseudomonadaceae,P. aeruginosa,24,12
AgNPs,Uncoated,68,NA,75000,Gammaproteobacteria,Enterobacteriaceae,Salmonella,24,11
AgNPs,Uncoated,68,NA,75000,Bacilli,Staphylococcaceae,S. aureus,24,10
AgNPs,Uncoated,68,NA,75000,Bacilli,Enterococcaceae,Enterococcus,24,10
AgNPs,Uncoated,68,NA,75000,Gammaproteobacteria,Enterobacteriaceae,K. pneumoniae,24,0
AgNPs,Uncoated,68,NA,75000,Gammaproteobacteria,Enterobacteriaceae,Shigella,24,0
AgNPs,Uncoated,68,NA,75000,Gammaproteobacteria,Morganellaceae,P. mirabilis,24,10
AgNPs,Uncoated,68,NA,100000,Gammaproteobacteria,Enterobacteriaceae,E. coli,24,13
AgNPs,Uncoated,68,NA,100000,Gammaproteobacteria,Pseudomonadaceae,P. aeruginosa,24,12
AgNPs,Uncoated,68,NA,100000,Gammaproteobacteria,Enterobacteriaceae,Salmonella,24,12
AgNPs,Uncoated,68,NA,100000,Bacilli,Staphylococcaceae,S. aureus,24,11
AgNPs,Uncoated,68,NA,100000,Bacilli,Enterococcaceae,Enterococcus,24,11
AgNPs,Uncoated,68,NA,100000,Gammaproteobacteria,Enterobacteriaceae,K. pneumoniae,24,0
AgNPs,Uncoated,68,NA,100000,Gammaproteobacteria,Enterobacteriaceae,Shigella,24,0
AgNPs,Uncoated,68,NA,100000,Gammaproteobacteria,Morganellaceae,P. mirabilis,120,13
AgNPs,Uncoated,68,NA,25000,Saccharomycetes,Debaryomycetaceae,C. tropicalis,120,0
AgNPs,Uncoated,68,NA,25000,Sordariomycetes,Nectriaceae,Fusarium,120,16
AgNPs,Uncoated,68,NA,25000,Sordariomycetes,Microascaceae,Scedosporium,120,0
AgNPs,Uncoated,68,NA,25000,Sordariomycetes,Ganodermataceae,Ganoderma,120,0
AgNPs,Uncoated,68,NA,25000,Fungal,Trichocomaceae,A. terreus,120,11
AgNPs,Uncoated,68,NA,50000,Saccharomycetes,Debaryomycetaceae,C. tropicalis,120,0
AgNPs,Uncoated,68,NA,50000,Sordariomycetes,Nectriaceae,Fusarium,120,17
AgNPs,Uncoated,68,NA,50000,Sordariomycetes,Microascaceae,Scedosporium,120,0
