Temp_Celcius,Synthesis_Duration_h,Scale_synthesis_ml,Precurcor_conc_mM,Capping agent concentration_mg/mL,Reducing agent quantity mL,UVVIs PEAKS nm,core size (nm),exposure dose concentration mg/mL,Exposure duration  (h),Bacteria reduction mm,Process_encoded,Steps_encoded,External_energy_encoded,Stirring_encoded,NEW_Capping agent_encoded,NEW_capping agent_Class_encoded,NEW_reducing agent_encoded,NEW_reducing agent_class_encoded,Order of reagent_CODE_encoded,treatment_encoded,shape_encoded,Method of determination_size_encoded,bacterial  Culture medium_encoded,bacterial  Species_encoded
25.0,4.0,52.0,7.0,91.0,8.2,430.0,25.0,0.01125,24.0,6.0,Aspergillus,Actinomycetes,Aspergillus,Aeromonas,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Agrobacterium tumefaciens,Aspergillus,Campylobacter,Bacillus,Aspergillus,Enterococcus
25.0,4.0,52.0,7.0,91.0,8.2,430.0,25.0,0.0225,24.0,6.0,Aspergillus,Actinomycetes,Aspergillus,Aeromonas,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Agrobacterium tumefaciens,Aspergillus,Campylobacter,Bacillus,Aspergillus,Enterococcus
25.0,4.0,52.0,7.0,91.0,8.2,430.0,25.0,0.01125,24.0,6.0,Aspergillus,Actinomycetes,Aspergillus,Aeromonas,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Agrobacterium tumefaciens,Aspergillus,Campylobacter,Bacillus,Aspergillus,Enterococcus
80.0,2.0,20.0,1.5,40.0,10.0,420.0,10.0,0.08,24.0,0.0,Aspergillus,Actinomycetes,Actinomycetes,Aspergillus,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Agrobacterium tumefaciens,Aspergillus,Campylobacter,Calcateuticals anitratus,Aspergillus,Salmonella
80.0,2.0,20.0,1.5,40.0,10.0,420.0,10.0,0.04,24.0,0.0,Aspergillus,Actinomycetes,Actinomycetes,Aspergillus,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Agrobacterium tumefaciens,Aspergillus,Campylobacter,Calcateuticals anitratus,Aspergillus,Salmonella
80.0,2.0,20.0,1.5,40.0,10.0,420.0,10.0,0.02,24.0,0.0,Aspergillus,Actinomycetes,Actinomycetes,Aspergillus,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Agrobacterium tumefaciens,Aspergillus,Campylobacter,Calcateuticals anitratus,Aspergillus,Salmonella
80.0,2.0,20.0,1.5,40.0,10.0,420.0,10.0,0.005,24.0,0.0,Aspergillus,Actinomycetes,Actinomycetes,Aspergillus,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Agrobacterium tumefaciens,Aspergillus,Campylobacter,Calcateuticals anitratus,Aspergillus,Salmonella
25.0,24.0,140.0,1.0,50.0,100.0,425.0,102.0,0.6508,36.0,12.007,Aspergillus,Actinomycetes,Agrobacterium tumefaciens,Agrobacterium tumefaciens,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Actinomycetes,Aspergillus,Clostridiumhaemolyticum,Calcateuticals anitratus,Calcateuticals anitratus,Escherichia coli
25.0,24.0,140.0,1.0,50.0,64.0,425.0,102.0,0.24659999999999999,36.0,14.008,Aspergillus,Actinomycetes,Agrobacterium tumefaciens,Agrobacterium tumefaciens,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Actinomycetes,Aspergillus,Clostridiumhaemolyticum,Calcateuticals anitratus,Calcateuticals anitratus,Bacillus
25.0,24.0,140.0,1.0,50.0,64.0,425.0,102.0,0.24659999999999999,36.0,16.016,Aspergillus,Actinomycetes,Agrobacterium tumefaciens,Agrobacterium tumefaciens,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Actinomycetes,Aspergillus,Campylobacter,Calcateuticals anitratus,Calcateuticals anitratus,Bacillus
25.0,24.0,175.0,1.0,50.0,32.0,475.0,102.0,0.8638,36.0,14.017,Aspergillus,Actinomycetes,Agrobacterium tumefaciens,Agrobacterium tumefaciens,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Actinomycetes,Aspergillus,Aspergillus,Calcateuticals anitratus,Calcateuticals anitratus,Escherichia coli
25.0,24.0,160.0,1.0,50.0,100.0,425.0,102.0,0.6508,36.0,14.02,Aspergillus,Actinomycetes,Agrobacterium tumefaciens,Agrobacterium tumefaciens,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Actinomycetes,Aspergillus,Campylobacter,Calcateuticals anitratus,Calcateuticals anitratus,Escherichia coli
25.0,24.0,150.0,1.0,50.0,32.0,475.0,102.0,0.8638,36.0,14.021,Aspergillus,Actinomycetes,Agrobacterium tumefaciens,Agrobacterium tumefaciens,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Actinomycetes,Aspergillus,Aspergillus,Calcateuticals anitratus,Calcateuticals anitratus,Bacillus
25.0,3.0,150.0,3.0,50.0,5.0,430.0,50.0,0.062,24.0,9.49,Aspergillus,Actinomycetes,Aspergillus,Aspergillus,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Actinomycetes,Acinetobacter,Campylobacter,Aeromonas,Aspergillus,Listeria monocytogenes
25.0,3.0,150.0,3.0,50.0,5.0,430.0,50.0,1.0,24.0,12.09,Aspergillus,Actinomycetes,Aspergillus,Aspergillus,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Actinomycetes,Acinetobacter,Campylobacter,Aeromonas,Aspergillus,Salmonella
25.0,48.0,90.0,1.0,250.0,10.0,400.0,18.0,0.5,24.0,15.09,Acinetobacter,Actinomycetes,Aspergillus,Aeromonas,Actinomycetes,Agrobacterium tumefaciens,Acinetobacter,Aeromonas,Agrobacterium tumefaciens,Actinomycetes,Calcateuticals anitratus,Candida,Aeromonas,Pseudomonas
25.0,3.0,150.0,3.0,50.0,5.0,430.0,50.0,0.031,24.0,8.2,Aspergillus,Actinomycetes,Aspergillus,Aspergillus,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Actinomycetes,Acinetobacter,Campylobacter,Aeromonas,Aspergillus,Listeria monocytogenes
25.0,3.0,130.0,3.0,50.0,5.0,430.0,50.0,0.25,24.0,10.2,Aspergillus,Actinomycetes,Aspergillus,Aspergillus,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Actinomycetes,Acinetobacter,Campylobacter,Aeromonas,Aspergillus,Salmonella
25.0,3.5,130.0,3.0,50.0,5.0,430.0,50.0,0.25,24.0,10.5,Aspergillus,Actinomycetes,Aspergillus,Aspergillus,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Actinomycetes,Acinetobacter,Campylobacter,Aeromonas,Aspergillus,Staphylococcus
25.0,3.0,150.0,3.0,50.0,5.0,430.0,50.0,0.5,24.0,10.69,Aspergillus,Actinomycetes,Aspergillus,Aspergillus,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Actinomycetes,Acinetobacter,Campylobacter,Aeromonas,Aspergillus,Listeria monocytogenes
25.0,3.0,150.0,3.0,50.0,5.0,430.0,50.0,0.125,24.0,9.75,Aspergillus,Actinomycetes,Aspergillus,Aspergillus,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Actinomycetes,Acinetobacter,Campylobacter,Aeromonas,Aspergillus,Listeria monocytogenes
25.0,3.0,130.0,3.0,50.0,5.0,430.0,50.0,0.125,24.0,9.75,Aspergillus,Actinomycetes,Aspergillus,Aspergillus,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Actinomycetes,Acinetobacter,Campylobacter,Aeromonas,Aspergillus,Salmonella
25.0,3.0,130.0,3.0,50.0,5.0,430.0,50.0,1.0,24.0,11.19,Aspergillus,Actinomycetes,Aspergillus,Aspergillus,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Actinomycetes,Acinetobacter,Campylobacter,Aeromonas,Aspergillus,Staphylococcus
25.0,24.0,143.0,3.0,50.0,5.0,430.0,50.0,0.062,24.0,9.79,Aspergillus,Actinomycetes,Aspergillus,Aspergillus,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Actinomycetes,Acinetobacter,Campylobacter,Aeromonas,Aspergillus,Staphylococcus
25.0,24.0,118.0,3.0,50.0,5.0,430.0,50.0,0.031,24.0,9.25,Aspergillus,Actinomycetes,Aspergillus,Aspergillus,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Actinomycetes,Acinetobacter,Campylobacter,Aeromonas,Aspergillus,Staphylococcus
25.0,48.0,180.0,1.0,250.0,10.0,400.0,18.0,0.5,24.0,19.14,Acinetobacter,Actinomycetes,Aspergillus,Aeromonas,Actinomycetes,Agrobacterium tumefaciens,Acinetobacter,Aeromonas,Agrobacterium tumefaciens,Actinomycetes,Agrobacterium tumefaciens,Calcateuticals anitratus,Aeromonas,Klebsiella
25.0,3.0,125.0,3.0,50.0,5.0,430.0,50.0,0.062,24.0,7.84,Aspergillus,Actinomycetes,Aspergillus,Aspergillus,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Actinomycetes,Acinetobacter,Campylobacter,Aeromonas,Aspergillus,Escherichia coli
25.0,48.0,84.0,1.0,250.0,11.0,408.0,19.4,0.5,24.0,14.15,Acinetobacter,Actinomycetes,Aspergillus,Aeromonas,Actinomycetes,Agrobacterium tumefaciens,Acinetobacter,Aeromonas,Agrobacterium tumefaciens,Actinomycetes,Calcateuticals anitratus,Candida,Aeromonas,Acinetobacter
25.0,3.0,150.0,3.0,50.0,5.0,430.0,50.0,0.25,24.0,10.12,Aspergillus,Actinomycetes,Aspergillus,Aspergillus,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Actinomycetes,Acinetobacter,Campylobacter,Aeromonas,Aspergillus,Listeria monocytogenes
25.0,3.0,130.0,3.0,50.0,5.0,430.0,50.0,0.062,24.0,9.52,Aspergillus,Actinomycetes,Aspergillus,Aspergillus,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Actinomycetes,Acinetobacter,Campylobacter,Aeromonas,Aspergillus,Salmonella
25.0,3.0,112.0,3.0,50.0,5.0,430.0,50.0,0.031,24.0,8.32,Aspergillus,Actinomycetes,Aspergillus,Aspergillus,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Actinomycetes,Acinetobacter,Campylobacter,Aeromonas,Aspergillus,Salmonella
25.0,3.0,130.0,3.0,50.0,5.0,430.0,50.0,0.5,24.0,11.02,Aspergillus,Actinomycetes,Aspergillus,Aspergillus,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Actinomycetes,Acinetobacter,Campylobacter,Aeromonas,Aspergillus,Staphylococcus
25.0,3.5,112.0,3.0,50.0,5.0,430.0,50.0,0.125,24.0,10.32,Aspergillus,Actinomycetes,Aspergillus,Aspergillus,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Actinomycetes,Acinetobacter,Campylobacter,Aeromonas,Aspergillus,Staphylococcus
25.0,48.0,212.0,1.0,250.0,10.0,400.0,18.0,0.5,24.0,18.18,Acinetobacter,Actinomycetes,Aspergillus,Aeromonas,Actinomycetes,Agrobacterium tumefaciens,Acinetobacter,Aeromonas,Agrobacterium tumefaciens,Actinomycetes,Agrobacterium tumefaciens,Calcateuticals anitratus,Aeromonas,Acinetobacter
25.0,4.0,70.0,7.0,91.0,10.0,430.0,25.0,0.09,24.0,10.3,Aspergillus,Actinomycetes,Aspergillus,Aeromonas,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Agrobacterium tumefaciens,Aspergillus,Campylobacter,Bacillus,Aspergillus,Enterococcus
25.0,3.0,150.0,1.0,100.0,49.0,450.0,48.0,10.0,24.0,18.2,Aspergillus,Actinomycetes,Aspergillus,Aspergillus,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Actinomycetes,Aspergillus,Calcateuticals anitratus,Bacillus,Aspergillus,Staphylococcus
